Rank,Song,Artist(s),Streams(billions),Release date,Days Since Release
1,Blinding Lights,The Weeknd,4.69,11/29/19,1891
2,Shape of You,Ed Sheeran,4.2,1/6/17,2948
3,Someone You Loved,Lewis Capaldi,3.78,11/8/18,2277
4,As It Was,Harry Styles,3.74,4/1/22,1037
5,Starboy,The Weeknd and Daft Punk,3.72,9/21/16,3055
6,Sunflower,Post Malone and Swae Lee,3.69,10/18/18,2298
7,Sweater Weather,The Neighbourhood,3.54,12/3/12,4443
8,One Dance,Drake with Wizkid and Kyla,3.51,4/5/16,3224
9,Stay,The Kid Laroi and Justin Bieber,3.45,7/9/21,1303
10,Believer,Imagine Dragons,3.31,2/1/17,2922
11,Heat Waves,Glass Animals,3.28,6/29/20,1678
12,Perfect,Ed Sheeran,3.27,9/26/17,2685
13,Dance Monkey,Tones and I,3.21,5/10/19,2094
14,Lovely,Billie Eilish and Khalid,3.17,4/19/18,2480
15,Say You Won't Let Go,James Arthur,3.15,9/9/16,3067
16,Closer,The Chainsmokers and Halsey,3.13,7/29/16,3109
17,Rockstar,Post Malone and 21 Savage,3.11,9/15/17,2696
18,Something Just Like This,The Chainsmokers and Coldplay,2.99,2/22/17,2901
19,Riptide,Vance Joy,2.95,5/21/13,4274
20,Watermelon Sugar,Harry Styles,2.93,12/13/19,1877
21,Se–orita,Shawn Mendes and Camila Cabello,2.92,6/21/19,2052
22,Take Me to Church,Hozier,2.88,9/13/13,4159
23,Another Love,Tom Odell,2.86,10/15/12,4492
24,Don't Start Now,Dua Lipa,2.83,10/31/19,1920
25,Counting Stars,OneRepublic,2.8,6/14/13,4250
26,I Wanna Be Yours,Arctic Monkeys,2.8,9/9/13,4163
27,Yellow,Coldplay,2.79,6/26/00,8986
28,Lucid Dreams,Juice Wrld,2.78,5/4/18,2465
29,Photograph,Ed Sheeran,2.78,5/11/15,3554
30,Cruel Summer,Taylor Swift,2.74,8/23/19,1989
31,The Night We Met,Lord Huron,2.73,4/7/15,3588
32,Circles,Post Malone,2.72,8/30/19,1982
33,Can't Hold Us,Macklemore & Ryan Lewis with Ray Dalton,2.72,8/16/11,4918
34,Goosebumps,Travis Scott,2.71,12/13/16,2972
35,God's Plan,Drake,2.69,1/19/18,2570
36,Bohemian Rhapsody,Queen,2.69,10/31/75,17991
37,Thinking Out Loud,Ed Sheeran,2.67,8/14/14,3824
38,Bad Guy,Billie Eilish,2.66,3/29/19,2136
39,Shallow,Lady Gaga and Bradley Cooper,2.66,9/27/18,2319
40,Love Yourself,Justin Bieber,2.66,12/27/15,3324
41,Die for You,The Weeknd,2.63,11/25/16,2990
42,Thunder,Imagine Dragons,2.62,4/27/17,2837
43,All of Me,John Legend,2.61,8/12/13,4191
44,Wake Me Up,Avicii,2.59,6/17/13,4247
45,Demons,Imagine Dragons,2.57,1/28/13,4387
46,Viva La Vida,Coldplay,2.55,5/25/08,6096
47,Stressed Out,Twenty One Pilots,2.55,4/28/15,3567
48,The Hills,The Weeknd,2.54,5/27/15,3538
49,Just the Way You Are,Bruno Mars,2.53,7/20/10,5310
50,Without Me,Eminem,2.49,5/14/02,8299
51,When I Was Your Man,Bruno Mars,2.48,1/15/13,4400
52,Mr. Brightside,The Killers,2.48,9/29/03,7796
53,No Role Modelz,J. Cole,2.48,12/9/14,3707
54,That's What I Like,Bruno Mars,2.47,1/30/17,2924
55,Humble,Kendrick Lamar,2.46,3/30/17,2865
56,Locked out of Heaven,Bruno Mars,2.46,10/1/12,4506
57,Let Her Go,Passenger,2.46,7/24/12,4575
58,7 Rings,Ariana Grande,2.46,1/18/19,2206
59,Lose Yourself,Eminem,2.45,10/28/02,8132
60,Do I Wanna Know?,Arctic Monkeys,2.45,6/19/13,4245
61,Every Breath You Take,The Police,2.43,5/20/83,15233
62,In The End,Linkin Park,2.42,10/9/01,8516
63,Flowers,Miley Cyrus,2.41,1/13/23,750
64,Treat You Better,Shawn Mendes,2.39,6/3/16,3165
65,Drivers License,Olivia Rodrigo,2.39,1/8/21,1485
66,Let Me Love You,DJ Snake and Justin Bieber,2.38,8/5/16,3102
67,Unforgettable,French Montana and Swae Lee,2.38,4/7/17,2857
68,One Kiss,Calvin Harris and Dua Lipa,2.37,4/6/18,2493
69,Good 4 U,Olivia Rodrigo,2.35,5/14/21,1359
70,Kill Bill,SZA,2.34,12/9/22,785
71,Sad!,XXXTentacion,2.33,3/2/18,2528
72,Happier,Marshmello and Bastille,2.33,8/16/18,2361
73,Jocelyn Flores,XXXTentacion,2.32,10/31/17,2650
74,Sorry,Justin Bieber,2.32,10/22/15,3390
75,There's Nothing Holdin' Me Back,Shawn Mendes,2.3,4/20/17,2844
76,XO Tour Llif3,Lil Uzi Vert,2.29,3/24/17,2871
77,Sicko Mode,Travis Scott and Drake,2.29,8/21/18,2356
78,Smells Like Teen Spirit,Nirvana,2.27,9/10/91,12198
79,Lean On,Major Lazer with DJ Snake and MÃ˜,2.27,3/2/15,3624
80,Don't Stop Believin',Journey,2.27,10/19/81,15811
81,Cold Heart (Pnau remix),Elton John and Dua Lipa with Pnau,2.27,8/13/21,1268
82,New Rules,Dua Lipa,2.25,7/7/17,2766
83,Levitating,Dua Lipa and DaBaby,2.25,10/1/20,1584
84,Save Your Tears,The Weeknd,2.24,3/20/20,1779
85,Too Good at Goodbyes,Sam Smith,2.24,9/8/17,2703
86,Wonderwall,Oasis,2.24,10/30/95,10687
87,Stay With Me,Sam Smith,2.23,4/14/14,3946
88,Don't Stop Me Now,Queen,2.22,1/26/79,16808
89,Havana,Camila Cabello and Young Thug,2.21,8/3/17,2739
90,Take On Me,A-ha,2.2,10/19/84,14715
91,Uptown Funk,Mark Ronson and Bruno Mars,2.2,11/10/14,3736
92,Seven,Jung Kook and Latto,2.19,7/14/23,568
93,Memories,Maroon 5,2.19,9/20/19,1961
94,Someone Like You,Adele,2.19,1/24/11,5122
95,Without Me - Halsey,Halsey,2.18,10/4/18,2312
96,The Scientist,Coldplay,2.18,5/26/02,8287
97,All I Want For Christmas Is You,Mariah Carey,2.17,10/29/94,11053
98,Till I Collapse,Eminem and Nate Dogg,2.15,5/26/02,8287
99,See You Again,"Tyler, the Creator and Kali Uchis",2.14,7/21/17,2752
100,Iris,Goo Goo Dolls,2.13,4/1/98,9803
